validationSplit:0.2
correspondingWeights:/usr/stud/alleboud/vision/trainedweights/04-11PM_April-10-2017_kc_LSTM.h5
batchSize:100
Beta:500
meanOfMeansImage:False
startingweights:/usr/stud/alleboud/vision/trainedweights/weights/mergedweights.h5
total number of samples:1019
val_loss,loss
5352.41174675,6967.82937416
4955.70053041,5160.54706896
4794.59826062,4889.14270394
4762.19814405,4579.99676177
4255.21801518,4387.95569297
4191.28548775,4084.56425017
3664.84456859,3745.113279
3716.70189592,3546.71634304
3721.49252858,3344.44315792
3609.73508588,3344.70160249
3427.40795659,3107.78229846
3095.52565272,3013.25889466
2917.80145024,2797.66471404
2839.01059259,2668.48957535
3001.41474526,2631.08066077
2670.87598255,2659.78352665
2719.44593841,2482.83343057
2574.32606955,2429.40561868
2822.31517059,2397.28777889
2602.88661882,2412.36099749
2649.94087967,2374.87303901
2484.89630665,2319.39998922
2414.91310808,2242.36966897
2431.40674546,2189.48118694
2377.893438,2175.55949879
2334.32912909,2162.07574163
2355.59569176,2101.16576737
2416.67824719,2139.43244719
2410.9986668,2108.98941096
2370.77196607,2134.70966625
2440.18731151,2077.519954
2357.32907464,2104.00447354
2257.64871515,2082.33382673
2310.61337938,2027.0789076
2291.54164632,2070.19460479
2244.27724083,2002.2024993
2216.54955576,1974.26354157
2181.82030233,1973.39729581
2168.21421305,1932.02386287
2237.44188137,1932.98228483
2229.13486316,1931.95860955
2197.17151717,1939.92693605
2334.30931061,1937.32300329
2208.6301826,1964.07971379
2204.27144249,1962.45184139
2149.3088361,1941.58169162
2287.25772693,1906.49289521
2125.96773275,1929.21558254
2144.78788608,1895.4593064
2157.17854399,1887.72579825
2109.38876462,1894.24981427
2146.82963831,1890.01689513
2127.39470717,1839.56979838
2108.02250223,1871.01138025
2088.16673907,1870.16507576
2051.81079461,1841.02799829
2180.23185401,1858.08269964
2068.90651149,1882.49308468
2101.0437652,1805.52492856
2070.22146547,1821.07528406
2085.07093901,1809.22353658
2075.96122831,1822.85992881
2100.65004596,1835.62563993
2037.48962103,1806.60126743
2060.45187857,1800.76683484
2044.84783337,1804.1269007
2132.9287253,1807.96252217
2117.85423309,1823.10206838
2111.29273478,1820.16052995
2033.73070272,1808.12354826
2054.3861437,1778.902516
2034.92267384,1772.69860316
2093.32917816,1783.66084748
2055.94885254,1778.30595613
2029.51112216,1756.2875164
2042.62839284,1751.27245907
2041.38956167,1776.57499348
2071.82806935,1775.01487535
1989.41370706,1724.43541582
2002.14703668,1755.25223134
1990.31303017,1743.2774763
1959.13817043,1728.61926232
1964.65724511,1719.41000759
2009.72566851,1728.68106098
2055.30434223,1763.772589
1990.5439872,1726.31176608
1994.24020805,1729.22509803
1996.44070375,1735.11340182
1976.00241268,1707.22822206
1987.87303251,1716.08901959
1985.75760247,1721.50017786
1949.41834872,1720.61458283
2006.72639435,1697.1415394
1999.45727719,1720.98555339
2049.7787308,1734.18250036
2058.28811286,1755.95452956
2121.98871448,1763.60957458
2066.34137382,1763.48814982
1950.38966519,1722.76849665
1944.54904354,1705.09537024
1996.4212473,1686.97460488
2021.66672351,1698.93388582
1986.8618547,1701.54317732
1956.58259373,1692.07143697
1984.90275723,1689.04112908
1948.49327417,1659.3720924
1940.04213341,1666.05062623
1972.40438843,1661.74287798
1926.40646003,1696.15969493
1993.47861256,1661.2569992
1927.27042284,1667.51701645
1918.80709719,1650.32944755
1908.879592,1646.33760792
1924.14152497,1627.49008422
1913.54083731,1635.78783393
1977.89644967,1650.9496928
1922.34457098,1668.96377545
1903.89040898,1659.08188896
1965.50235703,1684.46769106
1883.98306334,1658.08168488
1906.67156623,1622.93777447
1896.87644809,1625.63274997
1901.10235416,1629.27356968
1926.37173223,1628.86260687
1919.74341299,1632.60819024
1913.20015462,1619.92634143
1896.07164091,1622.58648195
1891.35501398,1616.36759303
1909.29119335,1604.27030636
1905.63854801,1607.76629901
1902.92606548,1629.3503916
1915.40076521,1602.23058895
1876.44512281,1602.95755698
1869.04370596,1595.11247918
1898.60147214,1594.55589734
1950.28311636,1600.17027348
1902.52670587,1612.37304313
1908.38109215,1594.37607579
1935.23378619,1597.10539236
1857.62276085,1611.92098456
1875.05224968,1584.2012228
1855.34793151,1578.69705593
1898.65879941,1580.00712127
1881.52212824,1572.89501766
